action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:07:33.480Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:07:33.481Z,
,,,queue,,,,,,,,2025-12-09T20:07:33.481Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:07:33.482Z,
,,,kv_cache,,,,,,,,2025-12-09T20:07:33.482Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:07:33.483Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:08:33.507Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:08:33.509Z,
,,,queue,,,,,,,,2025-12-09T20:08:33.509Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:08:33.509Z,
,,,kv_cache,,,,,,,,2025-12-09T20:08:33.509Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:08:33.510Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:09:33.534Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:09:33.535Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:09:33.535Z,
,,,queue,,,,,,,,2025-12-09T20:09:33.535Z,
,,,kv_cache,,,,,,,,2025-12-09T20:09:33.535Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:09:33.537Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:10:33.565Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:10:33.566Z,
,,,queue,,,,,,,,2025-12-09T20:10:33.566Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:10:33.567Z,
,,,kv_cache,,,,,,,,2025-12-09T20:10:33.567Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:10:33.568Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:11:33.590Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:11:33.591Z,
,,,queue,,,,,,,,2025-12-09T20:11:33.591Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:11:33.592Z,
,,,kv_cache,,,,,,,,2025-12-09T20:11:33.592Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:11:33.593Z,
,10.0,,metrics,6.67,,,,,1,,2025-12-09T20:12:33.618Z,13.61
,,,kv_cache,,0.5,0.005,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:12:33.619Z,
,,,kv_cache,,,,,,,,2025-12-09T20:12:33.619Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:12:33.620Z,
,,,queue,,,,,,,,2025-12-09T20:12:33.620Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:12:33.621Z,
,10.0,,metrics,7.98,,,,,1,,2025-12-09T20:13:33.643Z,16.92
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:13:33.644Z,
,,,queue,,,,,,,,2025-12-09T20:13:33.644Z,
,,,kv_cache,,2.7,0.027,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:13:33.644Z,
,,,kv_cache,,,,,,,,2025-12-09T20:13:33.644Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:13:33.646Z,
,10.0,,metrics,7.7,,,,,1,,2025-12-09T20:14:33.671Z,15.91
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:14:33.672Z,
,,,queue,,,,,,,,2025-12-09T20:14:33.672Z,
,,,kv_cache,,4.2,0.042,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:14:33.673Z,
,,,kv_cache,,,,,,,,2025-12-09T20:14:33.673Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:14:33.674Z,
,10.0,,metrics,7.73,,,,,1,,2025-12-09T20:15:33.702Z,16.65
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:15:33.704Z,
,,,queue,,,,,,,,2025-12-09T20:15:33.704Z,
,,,kv_cache,,2.6,0.026,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:15:33.704Z,
,,,kv_cache,,,,,,,,2025-12-09T20:15:33.704Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:15:33.706Z,
,10.0,,metrics,12.36,,,,,1,,2025-12-09T20:16:33.733Z,24.7
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:16:33.734Z,
,,,queue,,,,,,,,2025-12-09T20:16:33.734Z,
