timestamp,total_replicas,non_saturated,should_scale_up,scale_down_safe
2025-11-28 01:57:45.474000+00:00,1,1,False,False
2025-11-28 01:57:45.474000+00:00,1,1,False,False
2025-11-28 01:57:45.489000+00:00,1,1,False,False
2025-11-28 01:57:45.489000+00:00,1,1,False,False
2025-11-28 01:58:15.504000+00:00,1,1,False,False
2025-11-28 01:58:15.504000+00:00,1,1,False,False
2025-11-28 01:58:15.527000+00:00,1,1,False,False
2025-11-28 01:58:15.527000+00:00,1,1,False,False
2025-11-28 01:58:45.524000+00:00,1,1,False,False
2025-11-28 01:58:45.524000+00:00,1,1,False,False
2025-11-28 01:58:45.542000+00:00,1,1,False,False
2025-11-28 01:58:45.542000+00:00,1,1,False,False
2025-11-28 01:59:15.554000+00:00,1,1,False,False
2025-11-28 01:59:15.554000+00:00,1,1,False,False
2025-11-28 01:59:15.569000+00:00,1,1,False,False
2025-11-28 01:59:15.569000+00:00,1,1,False,False
2025-11-28 01:59:45.574000+00:00,1,1,False,False
2025-11-28 01:59:45.574000+00:00,1,1,False,False
2025-11-28 01:59:45.588000+00:00,1,1,False,False
2025-11-28 01:59:45.588000+00:00,1,1,False,False
2025-11-28 02:00:15.594000+00:00,1,1,False,False
2025-11-28 02:00:15.594000+00:00,1,1,False,False
2025-11-28 02:00:15.608000+00:00,1,1,False,False
2025-11-28 02:00:15.608000+00:00,1,1,False,False
2025-11-28 02:00:45.689000+00:00,1,1,False,False
2025-11-28 02:00:45.689000+00:00,1,1,False,False
2025-11-28 02:00:45.705000+00:00,1,1,False,False
2025-11-28 02:00:45.705000+00:00,1,1,False,False
2025-11-28 02:01:15.710000+00:00,1,1,False,False
2025-11-28 02:01:15.710000+00:00,1,1,False,False
2025-11-28 02:01:15.725000+00:00,1,1,False,False
2025-11-28 02:01:15.725000+00:00,1,1,False,False
2025-11-28 02:01:45.731000+00:00,1,1,True,False
2025-11-28 02:01:45.731000+00:00,1,1,True,False
2025-11-28 02:01:45.746000+00:00,1,1,True,False
2025-11-28 02:01:45.746000+00:00,1,1,True,False
2025-11-28 02:02:15.766000+00:00,1,1,True,False
2025-11-28 02:02:15.766000+00:00,1,1,True,False
2025-11-28 02:02:15.782000+00:00,1,1,True,False
2025-11-28 02:02:15.782000+00:00,1,1,True,False
2025-11-28 02:02:45.875000+00:00,1,0,True,False
2025-11-28 02:02:45.875000+00:00,1,0,True,False
2025-11-28 02:02:45.893000+00:00,1,0,True,False
2025-11-28 02:02:45.893000+00:00,1,0,True,False
2025-11-28 02:03:15.904000+00:00,1,0,True,False
2025-11-28 02:03:15.904000+00:00,1,0,True,False
2025-11-28 02:03:15.918000+00:00,1,0,True,False
2025-11-28 02:03:15.918000+00:00,1,0,True,False
2025-11-28 02:03:45.934000+00:00,1,0,True,False
2025-11-28 02:03:45.934000+00:00,1,0,True,False
2025-11-28 02:03:45.950000+00:00,1,0,True,False
2025-11-28 02:03:45.950000+00:00,1,0,True,False
2025-11-28 02:04:15.959000+00:00,2,1,False,False
2025-11-28 02:04:15.959000+00:00,2,1,False,False
2025-11-28 02:04:15.976000+00:00,2,1,False,False
2025-11-28 02:04:15.976000+00:00,2,1,False,False
2025-11-28 02:04:45.990000+00:00,2,1,False,False
2025-11-28 02:04:45.990000+00:00,2,1,False,False
2025-11-28 02:04:46.008000+00:00,2,1,False,False
2025-11-28 02:04:46.008000+00:00,2,1,False,False
2025-11-28 02:05:16.012000+00:00,2,2,False,False
2025-11-28 02:05:16.012000+00:00,2,2,False,False
2025-11-28 02:05:16.056000+00:00,2,2,False,False
2025-11-28 02:05:16.056000+00:00,2,2,False,False
2025-11-28 02:05:46.040000+00:00,2,2,False,False
2025-11-28 02:05:46.040000+00:00,2,2,False,False
2025-11-28 02:05:46.075000+00:00,2,2,False,False
2025-11-28 02:05:46.075000+00:00,2,2,False,False
2025-11-28 02:06:16.063000+00:00,2,2,False,False
2025-11-28 02:06:16.063000+00:00,2,2,False,False
2025-11-28 02:06:16.093000+00:00,2,2,False,False
2025-11-28 02:06:16.093000+00:00,2,2,False,False
2025-11-28 02:06:46.088000+00:00,2,2,False,True
2025-11-28 02:06:46.088000+00:00,2,2,False,True
2025-11-28 02:06:46.188000+00:00,2,2,False,True
2025-11-28 02:06:46.188000+00:00,2,2,False,True
2025-11-28 02:07:16.199000+00:00,2,2,False,True
2025-11-28 02:07:16.199000+00:00,2,2,False,True
2025-11-28 02:07:16.214000+00:00,2,2,False,True
2025-11-28 02:07:16.214000+00:00,2,2,False,True
2025-11-28 02:07:46.227000+00:00,2,2,False,True
2025-11-28 02:07:46.227000+00:00,2,2,False,True
2025-11-28 02:07:46.250000+00:00,2,2,False,True
2025-11-28 02:07:46.250000+00:00,2,2,False,True
2025-11-28 02:08:16.257000+00:00,1,1,False,False
