timestamp,itlAverage,ttftAverage,rate,inTk,outTk,numRep,itl,ttft,slo_itl,slo_ttft,alpha,beta,gamma,delta,time_minutes
2025-10-24 13:41:38.705000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,0.0
2025-10-24 13:42:38.726000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,1.00035
2025-10-24 13:43:38.750000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,2.00075
2025-10-24 13:44:38.773000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,3.0011333333333337
2025-10-24 13:45:38.796000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,4.001516666666666
2025-10-24 13:46:38.817000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,5.001866666666667
2025-10-24 13:47:38.841000+00:00,0.0,0.0,0.0,0,0,1,7.0,5.2999997,10,1000,6.958,0.042,5.2,0.1,6.002266666666667
2025-10-24 13:48:39.345000+00:00,0.0,0.0,0.0,0,0,1,7.514,15.415337,10,1000,7.47,0.044,15.415,0.000337,7.010666666666666
2025-10-24 13:49:39.362000+00:00,0.0,0.0,0.0,0,0,1,7.514,15.415337,10,1000,7.47,0.044,15.415,0.000337,8.01095
2025-10-24 13:50:39.386000+00:00,8.09,25.12,0.0,0,0,1,7.514,15.415337,10,1000,7.47,0.044,15.415,0.000337,9.01135
2025-10-24 13:51:39.411000+00:00,10.09,20.19,831.9,251,468,2,8.768532,17.911339,10,1000,7.47,0.044,15.415,0.000337,10.011766666666666
2025-10-24 13:52:39.439000+00:00,9.87,19.44,817.24,214,475,2,8.7640705,17.536041,10,1000,7.47,0.044,15.415,0.000337,11.012233333333334
2025-10-24 13:53:39.466000+00:00,9.68,19.55,817.34,232,464,2,8.730743,17.655228,10,1000,7.47,0.044,15.415,0.000337,12.012683333333333
2025-10-24 13:54:39.497000+00:00,8.82,18.2,919.69,220,456,2,8.882957,17.795834,10,1000,7.47,0.044,15.415,0.000337,13.013200000000001
2025-10-24 13:55:39.521000+00:00,8.78,18.45,802.49,237,503,2,8.822434,17.869946,10,1000,7.47,0.044,15.415,0.000337,14.0136
2025-10-24 13:56:39.549000+00:00,8.66,17.45,845.49,219,453,2,8.744817,17.553303,10,1000,7.47,0.044,15.415,0.000337,15.014066666666668
2025-10-24 13:57:39.576000+00:00,9.74,19.44,1712.18,245,460,3,9.310506,18.868668,10,1000,7.47,0.044,15.415,0.000337,16.014516666666665
2025-10-24 13:58:39.604000+00:00,9.44,18.89,1666.0,227,455,3,9.227603,18.470793,10,1000,7.47,0.044,15.415,0.000337,17.014983333333333
2025-10-24 13:59:39.632000+00:00,9.43,18.84,1670.3,234,441,3,9.168693,18.459444,10,1000,7.47,0.044,15.415,0.000337,18.015449999999998
2025-10-24 14:00:39.666000+00:00,9.0,18.4,1653.33,226,458,3,9.225334,18.453403,10,1000,7.47,0.044,15.415,0.000337,19.016016666666665
2025-10-24 14:01:39.694000+00:00,8.97,18.19,1693.58,227,482,3,9.391962,18.75655,10,1000,7.47,0.044,15.415,0.000337,20.016483333333333
2025-10-24 14:02:39.717000+00:00,8.89,17.82,1618.97,217,451,3,9.15085,18.20861,10,1000,7.47,0.044,15.415,0.000337,21.016866666666665
