prediction_time,observation_time,time_delta_seconds,predicted_itl,observed_itl,pred_error_itl,predicted_ttft,observed_ttft,pred_error_ttft,predicted_replicas,observed_replicas,time_minutes,slo_itl_violated,slo_ttft_violated,any_slo_violated
2025-12-09 15:16:58.097000+00:00,2025-12-09 15:17:58.122000+00:00,60.025,6.9555097,0.0,-6.9555097,13.686905,0.0,-13.686905,1,1,0.0,False,False,False
2025-12-09 15:17:58.122000+00:00,2025-12-09 15:18:58.256000+00:00,60.134,6.9555097,0.0,-6.9555097,13.686905,0.0,-13.686905,1,1,1.0022333333333333,False,False,False
2025-12-09 15:18:58.256000+00:00,2025-12-09 15:19:58.286000+00:00,60.03,6.9555097,0.0,-6.9555097,13.686905,0.0,-13.686905,1,1,2.0027333333333335,False,False,False
2025-12-09 15:19:58.286000+00:00,2025-12-09 15:20:58.313000+00:00,60.027,6.9555097,0.0,-6.9555097,13.686905,0.0,-13.686905,1,1,3.0031833333333333,False,False,False
2025-12-09 15:20:58.313000+00:00,2025-12-09 15:21:58.351000+00:00,60.038,6.9555097,14.15,7.1944903,13.686905,26.66,12.973095,1,1,4.003816666666667,True,False,True
2025-12-09 15:21:58.363000+00:00,2025-12-09 15:22:58.395000+00:00,60.032,8.63299,15.7,7.06701,20.138567,30.73,10.591433000000002,2,1,5.00455,True,False,True
2025-12-09 15:22:58.404000+00:00,2025-12-09 15:23:58.437000+00:00,60.033,9.646606,43.24,33.593394,22.467396,73.34,50.872604,2,1,6.00525,True,False,True
2025-12-09 15:23:58.447000+00:00,2025-12-09 15:24:58.478000+00:00,60.031,8.246817,41.46,33.213183,19.121902,407.69,388.568098,2,2,7.005933333333333,True,False,True
2025-12-09 15:24:58.488000+00:00,2025-12-09 15:25:58.527000+00:00,60.039,9.323178,48.16,38.836822,21.674553,78.21,56.53544699999999,5,2,8.00675,True,False,True
2025-12-09 15:25:58.539000+00:00,2025-12-09 15:26:58.568000+00:00,60.029,9.226137,59.66,50.433862999999995,21.573492,99.01,77.436508,5,2,9.007433333333333,True,False,True
2025-12-09 15:26:58.574000+00:00,2025-12-09 15:27:58.608000+00:00,60.034,9.433597,53.54,44.106403,22.409828,113.43,91.020172,5,4,10.0081,True,False,True
2025-12-09 15:27:58.620000+00:00,2025-12-09 15:28:58.670000+00:00,60.05,9.462881,20.77,11.307119,21.680317,35.83,14.149683,6,5,11.009133333333333,True,False,True
2025-12-09 15:28:58.680000+00:00,2025-12-09 15:29:58.713000+00:00,60.033,9.966375,12.89,2.9236250000000013,23.26316,25.1,1.8368400000000022,9,5,12.00985,True,False,True
2025-12-09 15:29:58.724000+00:00,2025-12-09 15:30:58.757000+00:00,60.033,9.525473,10.59,1.064527,22.8441,21.44,-1.4040999999999997,8,6,13.010583333333333,True,False,True
2025-12-09 15:30:58.769000+00:00,2025-12-09 15:31:58.801000+00:00,60.032,9.856613,9.72,-0.13661299999999876,21.6624,19.76,-1.9024,7,6,14.011316666666666,False,False,False
2025-12-09 15:31:58.812000+00:00,2025-12-09 15:32:58.850000+00:00,60.038,9.813759,9.74,-0.07375899999999902,23.102364,20.11,-2.992364000000002,6,6,15.012133333333333,False,False,False
2025-12-09 15:32:58.860000+00:00,2025-12-09 15:33:58.919000+00:00,60.059,9.738384,9.61,-0.1283840000000005,22.705677,19.97,-2.7356770000000026,6,6,16.013283333333334,False,False,False
2025-12-09 15:33:58.924000+00:00,2025-12-09 15:34:58.953000+00:00,60.029,9.601471,9.71,0.10852900000000076,22.20078,20.07,-2.1307800000000015,6,6,17.01385,False,False,False
2025-12-09 15:34:58.963000+00:00,2025-12-09 15:35:58.994000+00:00,60.031,9.719903,8.94,-0.7799030000000009,22.55336,18.5,-4.053360000000001,6,6,18.014533333333336,False,False,False
2025-12-09 15:35:59.004000+00:00,2025-12-09 15:36:59.042000+00:00,60.038,9.474213,9.1,-0.374213000000001,21.705997,18.89,-2.8159969999999994,5,5,19.015333333333334,False,False,False
2025-12-09 15:36:59.053000+00:00,2025-12-09 15:37:59.083000+00:00,60.03,9.843378,8.12,-1.7233780000000003,23.215645,17.15,-6.065645,4,4,20.016016666666665,False,False,False
2025-12-09 15:37:59.087000+00:00,2025-12-09 15:38:59.127000+00:00,60.04,9.515955,8.35,-1.1659550000000003,21.659382,17.6,-4.059381999999999,2,2,21.016750000000002,False,False,False
2025-12-09 15:38:59.138000+00:00,2025-12-09 15:39:59.167000+00:00,60.029,8.390746,8.54,0.1492539999999991,18.597599,17.33,-1.2675990000000006,2,2,22.01741666666667,False,False,False
