timestamp,current_replicas,target_replicas,action,time_minutes
2025-12-09 14:51:57.097000+00:00,1,1,no-change,0.0
2025-12-09 14:52:57.130000+00:00,1,1,no-change,1.00055
2025-12-09 14:53:57.155000+00:00,1,1,no-change,2.000966666666667
2025-12-09 14:54:57.191000+00:00,1,1,no-change,3.0015666666666667
2025-12-09 14:55:57.218000+00:00,1,1,no-change,4.002016666666667
2025-12-09 14:56:57.246000+00:00,1,1,no-change,5.002483333333333
2025-12-09 14:57:57.294000+00:00,1,1,no-change,6.003283333333333
2025-12-09 14:58:57.333000+00:00,1,1,no-change,7.003933333333333
2025-12-09 14:59:57.369000+00:00,1,1,no-change,8.004533333333333
2025-12-09 15:00:57.425000+00:00,1,2,scale-up,9.005466666666667
2025-12-09 15:01:57.466000+00:00,1,2,scale-up,10.00615
2025-12-09 15:02:57.500000+00:00,1,2,scale-up,11.006716666666668
2025-12-09 15:03:57.545000+00:00,2,2,no-change,12.007466666666666
2025-12-09 15:04:57.585000+00:00,2,4,scale-up,13.008133333333335
2025-12-09 15:05:57.621000+00:00,2,3,scale-up,14.008733333333334
2025-12-09 15:06:57.654000+00:00,2,4,scale-up,15.009283333333334
2025-12-09 15:07:57.706000+00:00,3,3,no-change,16.01015
2025-12-09 15:08:57.752000+00:00,3,3,no-change,17.010916666666667
2025-12-09 15:09:57.789000+00:00,3,3,no-change,18.011533333333333
2025-12-09 15:10:57.838000+00:00,3,2,scale-down,19.01235
2025-12-09 15:11:57.869000+00:00,2,2,no-change,20.012866666666664
2025-12-09 15:12:57.914000+00:00,2,2,no-change,21.013616666666667
2025-12-09 15:13:57.960000+00:00,2,1,scale-down,22.014383333333335
2025-12-09 15:14:57.999000+00:00,1,1,no-change,23.015033333333335
2025-12-09 15:15:58.040000+00:00,1,1,no-change,24.015716666666666
2025-12-09 15:16:58.097000+00:00,1,1,no-change,25.016666666666666
